"employee_id";"first_name";"last_name";"total_sales"
3;Amy;Cabrera;727369.5
4;Ashley;Bullock;427819.8
5;Bridget;Williams;697333.4
6;Rebecca;Garcia;227755.11
7;Antonio;Peters;1081044.5
8;Katrina;Rodgers;625603.75
9;Douglas;Wilson;207389.48
10;Roberto;Smith;433495.6
11;Julia;Kim;318438.25
12;Frank;Dawson;445483.3
13;Matthew;Ramsey;427291.8
14;Alison;Robinson;238556.67
15;Sean;Thompson;696121.56
16;Luis;Lee;712861.4
17;Erin;Beard;405759.16
18;Keith;Wade;427333.53
19;Annette;Ramos;218471.02
20;Larry;Hamilton;397822.5
21;Dustin;Brady;338661.38
22;Karen;Dudley;452119.75
23;Kevin;Moreno;339616.66
24;Richard;Gonzales;373773.38
25;Donald;Johnson;439986.38
26;Sandra;Fox;233743.05
27;Jennifer;Williams;553094.1
28;Edward;Smith;263592.28
29;Jon;Gonzalez;391602.62
30;Bobby;Barton;429292.97
31;David;Gill;394487.97
32;Carol;Flores;189822.62
33;Donna;Bryant;236188.97
34;Timothy;Mercer;768301.44
35;Kimberly;Wilson;485719.56
36;Kayla;Powell;466766.03
37;Adam;Moyer;448248.47
38;Cynthia;Warren;435965.16
39;Anita;Williams;177893.12
40;Daniel;Lee;649844.4
41;Brian;Schaefer;441583.47
42;Willie;Collins;530515.5
43;Olivia;Duran;389450.38
44;Justin;Smith;376107.75
45;Scott;Mooney;230235.89
46;Kimberly;Price;560115.44
47;Donna;Armstrong;588264.44
48;Brandi;Morris;581095.56
49;Ronald;Lewis;866243.06
50;Courtney;Reynolds;732406.5
51;Cheryl;Suarez;238201.56
52;Travis;Love;617385.25
53;Roger;Lewis;600420.5
54;Andrea;Edwards;346696.56
55;James;Flores;803916.8
56;Samantha;Berry;448701.88
57;David;Ewing;434225.47
58;Brenda;Novak;529998.7
59;Daniel;Oconnor;436908.25
60;Stephen;Ali;705822.94
61;Kristen;Parker;525166.4
62;Ruben;Friedman;422045.38
63;Timothy;Walker;239670.36
64;Shane;Barnett;343711.5
65;Michael;Gonzales;303832.5
66;Adam;Brooks;762781.0
67;Robert;Page;425271.2
68;Mary;Patterson;238093.48
69;Amanda;Brooks;125062.2
70;Kenneth;Sullivan;463251.53
71;Jessica;Roberts;290462.5
72;Todd;Gross;275961.47
73;Wanda;Brown;335249.7
74;Philip;Clark;298087.53
75;David;James;463102.03
76;Paul;White;677650.8
77;Hannah;Cooper;155726.73
78;John;Kelly;233440.31
79;Jared;Lamb;344593.56
80;Kristen;Rodriguez;741919.25
81;Tammy;Hardy;315495.75
82;John;Thomas;565619.94
83;Madison;Perez;405906.84
84;Seth;Carter;346387.2
85;Sabrina;Williams;277507.9
86;Melissa;Castro;411960.9
87;Julia;Duffy;429488.72
88;Joshua;Davis;377358.4
89;Andrew;Walker;435371.12
90;Tracey;Miller;184723.72
91;Jennifer;Diaz;420888.3
92;James;Gilbert;424444.16
93;Julie;Underwood;333363.38
94;Andrea;Sims;163591.33
95;Charles;Barton;237354.6
96;Alexandra;Richmond;713810.8
97;Linda;Mitchell;459645.94
98;Stacey;Wright;752918.75
99;Michael;Butler;275310.0
100;Sharon;Morales;572414.3
101;Jason;Elliott;291500.94
102;Justin;Glass;211433.67
103;Laura;Cook;404877.44
104;Laura;Cobb;200693.83
105;James;Jones;245729.84
106;Emily;Edwards;234886.97
107;Carlos;Sanchez;471499.38
108;John;Carter;439438.62
109;Heather;Singh;215133.6
110;Eric;Simmons;313566.84
111;Jessica;Patton;572362.5
112;William;Summers;337062.9
113;Roy;Anderson;242005.7
114;Roger;Hernandez;264763.88
115;Jesse;Estes;210894.44
116;Victoria;Jensen;636528.4
117;Thomas;Miller;681997.7
118;Michael;Wilkins;272100.0
119;Daniel;Lee;561713.06
120;Brandy;Christensen;301124.0
121;Maria;Kidd;507045.1
122;Heather;Wright;324316.03
123;Jacqueline;Jones;242914.14
124;Walter;Lewis;316256.53
125;Sarah;Thomas;248615.38
126;Samantha;Hernandez;351034.25
127;Joseph;Torres;185014.56
128;Joseph;Anderson;258888.08
129;Jamie;Ray;289605.88
130;Christina;Munoz;283150.84
131;Jason;Mason;659729.5
132;Michelle;Williams;431875.97
133;Tommy;Roman;246071.67
134;Lawrence;Graham;370096.53
135;Kimberly;Ramirez;259343.53
136;Caleb;Carroll;239845.27
137;Jerry;Brown;287122.78
138;Edward;Hall;167124.17
139;Gabriela;Rhodes;445653.1
140;Erin;Reynolds;421785.9
141;Mark;Huff;382932.78
142;Jared;Cline;269147.4
143;Jeanette;Fowler;254027.75
144;Nicole;Brown;760703.3
145;Thomas;Ferguson;442796.25
146;Debra;Taylor;241013.05
147;Stephanie;Brown;540005.3
148;Anthony;Carr;453761.25
149;Terri;Green;580324.1
150;Marcus;Banks;424612.25
151;Kimberly;Lopez;247527.8
152;Michele;Hardy;565522.56
153;Matthew;Jackson;283661.38
154;Jennifer;Hall;681180.5
155;Catherine;Fowler;264091.16
156;Michelle;Lopez;260937.17
157;Raymond;Meyer;333863.22
158;Jeffrey;Christensen;733432.4
159;David;Arnold;418199.6
160;Eric;Wells;333896.12
161;George;Owens;196801.38
162;Jason;Franklin;367405.38
163;Kathryn;Chavez;375734.47
164;Richard;Thompson;469116.2
165;Andrea;Campbell;817910.8
166;Ashley;Howell;885175.6
167;Matthew;Hill;471438.78
168;John;Martin;304678.94
169;Cameron;Robertson;389687.12
170;Stacie;Smith;299316.97
171;Jesse;Noble;627595.3
172;Joseph;Vance;573961.25
173;Jason;Savage;343725.56
174;Eric;Rodriguez;288958.5
175;Christina;Johnson;421224.97
176;Christina;Webb;352934.66
177;David;Davis;544811.2
178;David;Williams;350684.7
179;Matthew;Bell;310513.38
180;Jeffrey;Brown;502230.7
181;Courtney;Meyer;291301.78
182;Mathew;Bonilla;388513.38
183;Latasha;Robinson;1108360.6
184;Shawna;Sanders;641925.8
185;Jodi;Hughes;349112.4
186;Eric;Wall;528995.8
187;Jose;Forbes;715031.9
188;Eric;Shah;746203.94
189;Scott;Roberson;591422.7
190;Sara;Crosby;126272.66
191;Benjamin;Cook;304534.47
192;Victor;Cain;696318.9
193;Rachel;Le;773393.44
194;Andrew;White;578785.2
195;Patrick;Molina;803658.6
196;Steven;Blankenship;649175.2
197;Michael;Anderson;367523.16
198;Dawn;Mills;329657.44
199;Kristen;Mendoza;177736.1
200;Johnny;Smith;314016.6
201;Stephanie;Thompson;578276.25
202;Miguel;Greene;365344.22
